timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:14:06.244, 0 %, 32017 MiB, 70.52 W, 47
2026/09/06 16:14:06.494, 0 %, 32017 MiB, 70.73 W, 47
2026/09/06 16:14:06.744, 0 %, 32017 MiB, 70.73 W, 47
2026/09/06 16:14:06.995, 0 %, 32017 MiB, 70.62 W, 47
2026/09/06 16:14:07.245, 0 %, 32017 MiB, 70.62 W, 47
2026/09/06 16:14:07.495, 0 %, 32017 MiB, 70.60 W, 46
2026/09/06 16:14:07.745, 0 %, 32017 MiB, 70.60 W, 46
2026/09/06 16:14:07.996, 0 %, 32017 MiB, 70.60 W, 46
2026/09/06 16:14:08.246, 0 %, 32017 MiB, 70.60 W, 46
2026/09/06 16:14:08.496, 0 %, 32017 MiB, 70.57 W, 46
2026/09/06 16:14:08.746, 0 %, 32017 MiB, 70.57 W, 46
2026/09/06 16:14:08.999, 0 %, 32017 MiB, 70.41 W, 46
2026/09/06 16:14:09.251, 0 %, 32017 MiB, 70.41 W, 46
2026/09/06 16:14:09.501, 0 %, 32017 MiB, 70.29 W, 46
2026/09/06 16:14:09.751, 0 %, 32017 MiB, 70.29 W, 46
2026/09/06 16:14:10.001, 0 %, 32017 MiB, 70.13 W, 46
2026/09/06 16:14:10.251, 0 %, 32017 MiB, 70.13 W, 46
2026/09/06 16:14:10.502, 0 %, 32017 MiB, 69.90 W, 46
2026/09/06 16:14:10.752, 0 %, 32017 MiB, 69.90 W, 46
2026/09/06 16:14:11.002, 0 %, 32017 MiB, 69.68 W, 46
2026/09/06 16:14:11.253, 0 %, 32017 MiB, 69.68 W, 46
2026/09/06 16:14:11.503, 0 %, 32017 MiB, 57.82 W, 45
2026/09/06 16:14:11.755, 0 %, 32017 MiB, 57.82 W, 45
2026/09/06 16:14:12.005, 0 %, 32017 MiB, 42.41 W, 45
2026/09/06 16:14:12.256, 0 %, 32017 MiB, 42.41 W, 45
2026/09/06 16:14:12.506, 0 %, 32017 MiB, 38.74 W, 45
2026/09/06 16:14:12.756, 0 %, 32017 MiB, 38.74 W, 45
2026/09/06 16:14:13.006, 0 %, 32017 MiB, 38.74 W, 45
2026/09/06 16:14:13.256, 0 %, 32017 MiB, 38.74 W, 45
2026/09/06 16:14:13.507, 0 %, 32017 MiB, 34.67 W, 45
2026/09/06 16:14:13.757, 0 %, 32017 MiB, 34.67 W, 45
2026/09/06 16:14:14.007, 0 %, 32017 MiB, 34.67 W, 45
2026/09/06 16:14:14.257, 0 %, 32017 MiB, 34.67 W, 45
2026/09/06 16:14:14.507, 0 %, 32017 MiB, 33.01 W, 45
2026/09/06 16:14:14.758, 0 %, 32017 MiB, 33.01 W, 45
2026/09/06 16:14:15.008, 0 %, 32017 MiB, 33.01 W, 45
2026/09/06 16:14:15.258, 0 %, 32017 MiB, 33.01 W, 45
2026/09/06 16:14:15.508, 0 %, 32017 MiB, 29.47 W, 44
2026/09/06 16:14:15.759, 0 %, 32017 MiB, 29.47 W, 44
2026/09/06 16:14:16.009, 0 %, 32017 MiB, 113.01 W, 59
2026/09/06 16:14:16.260, 0 %, 32017 MiB, 113.01 W, 59
2026/09/06 16:14:16.510, 96 %, 32017 MiB, 335.93 W, 61
2026/09/06 16:14:16.760, 96 %, 31945 MiB, 335.93 W, 61
2026/09/06 16:14:17.010, 96 %, 31945 MiB, 419.68 W, 48
2026/09/06 16:14:17.261, 96 %, 31945 MiB, 419.68 W, 48
2026/09/06 16:14:17.511, 0 %, 31945 MiB, 166.31 W, 47
2026/09/06 16:14:17.761, 0 %, 32017 MiB, 166.31 W, 47
2026/09/06 16:14:18.011, 0 %, 32017 MiB, 195.47 W, 59
2026/09/06 16:14:18.262, 0 %, 32017 MiB, 195.47 W, 59
2026/09/06 16:14:18.512, 95 %, 32017 MiB, 431.93 W, 61
2026/09/06 16:14:18.762, 95 %, 32017 MiB, 431.93 W, 61
2026/09/06 16:14:19.012, 95 %, 32017 MiB, 497.83 W, 54
2026/09/06 16:14:19.263, 95 %, 32017 MiB, 497.83 W, 54
2026/09/06 16:14:19.513, 93 %, 32017 MiB, 387.63 W, 53
2026/09/06 16:14:19.763, 93 %, 32017 MiB, 387.63 W, 53
2026/09/06 16:14:20.014, 93 %, 32017 MiB, 369.05 W, 53
2026/09/06 16:14:20.265, 93 %, 32017 MiB, 369.05 W, 53
2026/09/06 16:14:20.515, 93 %, 32017 MiB, 369.06 W, 54
2026/09/06 16:14:20.765, 93 %, 32017 MiB, 369.06 W, 54
2026/09/06 16:14:21.015, 93 %, 32017 MiB, 368.85 W, 53
2026/09/06 16:14:21.265, 93 %, 32017 MiB, 368.85 W, 53
2026/09/06 16:14:21.516, 93 %, 32017 MiB, 368.89 W, 54
2026/09/06 16:14:21.766, 93 %, 32017 MiB, 368.89 W, 54
2026/09/06 16:14:22.016, 93 %, 32017 MiB, 369.03 W, 54
2026/09/06 16:14:22.266, 93 %, 32017 MiB, 369.03 W, 54
