timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu
2026/09/06 16:38:27.116, 0 %, 28337 MiB, 352.92 W, 56
2026/09/06 16:38:27.366, 0 %, 28337 MiB, 206.67 W, 55
2026/09/06 16:38:27.616, 0 %, 28337 MiB, 206.67 W, 55
2026/09/06 16:38:27.867, 0 %, 28337 MiB, 99.40 W, 55
2026/09/06 16:38:28.117, 0 %, 28337 MiB, 99.40 W, 55
2026/09/06 16:38:28.367, 0 %, 28337 MiB, 98.34 W, 54
2026/09/06 16:38:28.617, 0 %, 28337 MiB, 98.34 W, 54
2026/09/06 16:38:28.868, 0 %, 28337 MiB, 91.65 W, 53
2026/09/06 16:38:29.118, 0 %, 28337 MiB, 91.65 W, 53
2026/09/06 16:38:29.368, 0 %, 28337 MiB, 79.71 W, 53
2026/09/06 16:38:29.618, 0 %, 28337 MiB, 79.71 W, 53
2026/09/06 16:38:29.868, 0 %, 28337 MiB, 74.26 W, 53
2026/09/06 16:38:30.119, 0 %, 28337 MiB, 74.26 W, 53
2026/09/06 16:38:30.369, 0 %, 28337 MiB, 73.80 W, 53
2026/09/06 16:38:30.619, 0 %, 28337 MiB, 73.80 W, 53
2026/09/06 16:38:30.869, 0 %, 28337 MiB, 73.75 W, 53
2026/09/06 16:38:31.119, 0 %, 28337 MiB, 73.75 W, 53
2026/09/06 16:38:31.370, 0 %, 28337 MiB, 73.34 W, 52
2026/09/06 16:38:31.620, 0 %, 28337 MiB, 73.34 W, 52
2026/09/06 16:38:31.870, 0 %, 28337 MiB, 73.06 W, 52
2026/09/06 16:38:32.120, 0 %, 28337 MiB, 73.06 W, 52
2026/09/06 16:38:32.370, 0 %, 28337 MiB, 73.25 W, 52
2026/09/06 16:38:32.621, 0 %, 28337 MiB, 73.25 W, 52
2026/09/06 16:38:32.871, 0 %, 28337 MiB, 73.40 W, 52
2026/09/06 16:38:33.121, 0 %, 28337 MiB, 73.40 W, 52
2026/09/06 16:38:33.372, 0 %, 28337 MiB, 73.60 W, 52
2026/09/06 16:38:33.622, 0 %, 28337 MiB, 73.60 W, 52
2026/09/06 16:38:33.873, 0 %, 28337 MiB, 73.05 W, 52
2026/09/06 16:38:34.123, 0 %, 28337 MiB, 73.05 W, 52
2026/09/06 16:38:34.373, 0 %, 28337 MiB, 72.52 W, 52
2026/09/06 16:38:34.623, 0 %, 28337 MiB, 72.52 W, 52
2026/09/06 16:38:34.873, 0 %, 28337 MiB, 72.58 W, 52
2026/09/06 16:38:35.124, 0 %, 28337 MiB, 72.58 W, 52
2026/09/06 16:38:35.374, 0 %, 28337 MiB, 73.11 W, 51
2026/09/06 16:38:35.624, 0 %, 28337 MiB, 73.11 W, 51
2026/09/06 16:38:35.874, 0 %, 28337 MiB, 73.07 W, 51
2026/09/06 16:38:36.124, 0 %, 28337 MiB, 73.07 W, 51
2026/09/06 16:38:36.374, 0 %, 28337 MiB, 72.68 W, 51
2026/09/06 16:38:36.625, 0 %, 28337 MiB, 72.68 W, 51
2026/09/06 16:38:36.876, 0 %, 28337 MiB, 72.48 W, 51
2026/09/06 16:38:37.126, 0 %, 28337 MiB, 72.48 W, 51
2026/09/06 16:38:37.376, 0 %, 28337 MiB, 72.23 W, 51
2026/09/06 16:38:37.627, 0 %, 28337 MiB, 72.23 W, 51
2026/09/06 16:38:37.877, 0 %, 28337 MiB, 72.12 W, 51
2026/09/06 16:38:38.127, 0 %, 28337 MiB, 72.12 W, 51
