timestamp, utilization.gpu [%], memory.used [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/06 16:48:23.173, 100 %, 31897 MiB, 422.82 W, 67, 2820 MHz, 13801 MHz
2026/09/06 16:48:23.423, 100 %, 31897 MiB, 422.07 W, 66, 2812 MHz, 13801 MHz
2026/09/06 16:48:23.673, 100 %, 31897 MiB, 422.07 W, 66, 2812 MHz, 13801 MHz
2026/09/06 16:48:23.923, 94 %, 31897 MiB, 420.22 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:24.173, 94 %, 31897 MiB, 420.22 W, 68, 2820 MHz, 13801 MHz
2026/09/06 16:48:24.423, 94 %, 31897 MiB, 420.38 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:24.674, 94 %, 31897 MiB, 420.38 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:24.924, 100 %, 31897 MiB, 419.44 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:25.174, 100 %, 31897 MiB, 419.44 W, 69, 2812 MHz, 13801 MHz
2026/09/06 16:48:25.425, 100 %, 31897 MiB, 420.09 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:25.675, 100 %, 31897 MiB, 420.09 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:25.925, 100 %, 31897 MiB, 420.58 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:26.176, 100 %, 31897 MiB, 420.58 W, 70, 2820 MHz, 13801 MHz
2026/09/06 16:48:26.426, 100 %, 31897 MiB, 420.47 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:26.676, 100 %, 31897 MiB, 420.47 W, 69, 2805 MHz, 13801 MHz
2026/09/06 16:48:26.926, 100 %, 31897 MiB, 422.53 W, 69, 2820 MHz, 13801 MHz
2026/09/06 16:48:27.176, 100 %, 31897 MiB, 422.53 W, 69, 2820 MHz, 13801 MHz
2026/09/06 16:48:27.426, 100 %, 31897 MiB, 419.61 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:27.677, 100 %, 31897 MiB, 419.61 W, 67, 2812 MHz, 13801 MHz
2026/09/06 16:48:27.927, 94 %, 31897 MiB, 417.51 W, 71, 2812 MHz, 13801 MHz
2026/09/06 16:48:28.177, 94 %, 31897 MiB, 417.51 W, 71, 2812 MHz, 13801 MHz
2026/09/06 16:48:28.427, 94 %, 31897 MiB, 419.95 W, 71, 2820 MHz, 13801 MHz
2026/09/06 16:48:28.677, 94 %, 31897 MiB, 419.95 W, 71, 2820 MHz, 13801 MHz
2026/09/06 16:48:28.927, 100 %, 31897 MiB, 418.45 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:29.177, 100 %, 31897 MiB, 418.45 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:29.428, 100 %, 31897 MiB, 421.18 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:29.678, 100 %, 31897 MiB, 421.18 W, 70, 2805 MHz, 13801 MHz
2026/09/06 16:48:29.928, 100 %, 31897 MiB, 420.95 W, 68, 2805 MHz, 13801 MHz
2026/09/06 16:48:30.178, 100 %, 31897 MiB, 420.95 W, 68, 2805 MHz, 13801 MHz
2026/09/06 16:48:30.428, 100 %, 31897 MiB, 416.78 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:30.678, 100 %, 31897 MiB, 416.78 W, 71, 2805 MHz, 13801 MHz
2026/09/06 16:48:30.929, 100 %, 31897 MiB, 419.15 W, 70, 2812 MHz, 13801 MHz
2026/09/06 16:48:31.179, 100 %, 31897 MiB, 419.15 W, 70, 2812 MHz, 13801 MHz
